X,Y,Name,description
8.790335,45.663972,Gallarate,
8.770432,45.784875,Galliate Lombardo,
8.818846,45.097559,Galliavola,
10.293475,45.255276,Gambara,
8.763346,45.028356,Gambarana,
8.857244,45.264163,Gambolo,
9.946154,45.991091,Gandellino,
9.896456,45.807886,Gandino,
9.888859,45.658882,Gandosso,
9.071743,45.576473,Garbagnate Milanese,
9.301444,45.77338,Garbagnate Monastero,
10.565275,45.624987,Gardone Riviera,
10.186965,45.694186,Gardone Val Trompia,
10.660876,45.68909,Gargnano,
8.923746,45.197362,Garlasco,
9.399645,45.812081,Garlate,
9.249636,46.134088,Garzeno,
10.442573,45.589385,Gavardo,
9.886657,45.755784,Gaverina Terme,
8.71983,45.840076,Gavirate,
10.579383,45.200277,Gazoldo degli Ippoliti,
8.8333333,45.7666667,Gazzada Schianno,
9.829755,45.793385,Gazzaniga,
10.578585,45.064174,Gazzuolo,
8.677028,45.876976,Gemonio,
9.877265,45.332574,Genivolta,
9.347456,45.180665,Genzone,
9.367638,46.17099,Gera Lario,
9.359656,45.206566,Gerenzago,
9.00104,45.639673,Gerenzano,
9.263436,46.135688,Germasino,
8.724027,45.99128,Germignaga,
9.550744,46.060889,Gerola Alta,
9.569548,45.849784,Gerosa,
10.051273,45.09027,Gerre de' Caprioli,
9.437751,45.548375,Gessate,
10.279272,45.401079,Ghedi,
9.759257,45.594779,Ghisalba,
10.174862,45.86559,Gianico,
9.003137,45.801377,Gironico,
9.140749,45.284766,Giussago,
9.211243,45.694077,Giussano,
9.056755,44.897556,Godiasco,
10.672084,45.254879,Goito,
8.666131,45.696772,Golasecca,
9.305959,44.96106,Golferenzo,
9.728563,45.261871,Gombito,
10.820893,44.949773,Gonzaga,
9.365335,46.292293,Gordona,
9.404651,45.531574,Gorgonzola,
8.892037,45.665873,Gorla Maggiore,
8.902638,45.641173,Gorla Minore,
9.822957,45.674082,Gorlago,
9.712754,45.700181,Gorle,
8.859935,45.741575,Gornate-Olona,
9.841554,45.862487,Gorno,
10.272374,45.291876,Gottolengo,
9.454358,45.206467,Graffignana,
9.057838,45.775177,Grandate,
9.212737,46.024885,Grandola ed Uniti,
8.774329,45.949179,Grantola,
9.725655,45.656881,Grassobbio,
9.300937,46.146389,Gravedona,
8.76414,45.327664,Gravellona Lomellina,
9.497252,45.591077,Grezzago,
9.235538,45.995284,Griante,
9.927054,45.96399,Gromo,
9.908358,45.727284,Grone,
10.150773,45.201873,Grontardo,
8.992748,45.178562,Gropello Cairoli,
10.274256,46.297902,Grosio,
10.259756,46.283001,Grosotto,
9.865867,45.19307,Grumello Cremonese ed Uniti,
9.876759,45.637181,Grumello del Monte,
9.019839,45.727576,Guanzate,
9.681365,45.107567,Guardamiglio,
9.000145,45.374067,Gudo Visconti,
10.580481,45.32068,Guidizzolo,
10.157166,45.583583,Gussago,
10.346381,45.01307,Gussola,
10.4833333,45.7333333,Idro,
9.444448,45.705879,Imbersago,
8.735631,45.785775,Inarzo,
10.358759,46.2203,Incudine,
8.836632,45.847977,Induno Olona,
9.451643,45.973986,Introbio,
9.340939,46.081188,Introzzo,
9.217743,45.737178,Inverigo,
9.3833333,45.1833333,Inverno e Monteleone,
8.850739,45.510769,Inveruno,
9.482052,45.540475,Inzago,
10.284566,45.771288,Irma,
10.052763,45.656784,Iseo,
9.74735,45.978589,Isola di Fondra,
10.311077,45.174274,Isola Dovarese,
10.322275,45.308277,Isorella,
8.621428,45.819774,Ispra,
9.75866,45.476776,Isso,
9.750162,45.355973,Izano,
8.795934,45.704673,Jerago con Orago,
9.139049,45.324267,Lacchiarella,
9.141438,45.887681,Laglio,
9.017141,45.575872,Lainate,
9.075435,45.984483,Laino,
9.630053,45.66638,Lallio,
9.239543,45.758779,Lambrugo,
9.260052,45.311968,Landriano,
8.562838,45.214859,Langosco,
9.869247,46.269297,Lanzada,
9.026034,45.983882,Lanzo d'Intelvi,
9.232052,45.235066,Lardirago,
9.266441,45.881982,Lasnigo,
8.865331,45.95908,Lavena Ponte Tresa,
8.619226,45.904376,Laveno-Mombello,
10.43907,45.739689,Lavenone,
9.084241,45.672075,Lazzate,
9.39047813415527,45.8533447031328,Lecco,
9.885456,45.800686,Leffe,
8.620627,45.875876,Leggiuno,
8.907839,45.595971,Legnano,
9.676749,45.942487,Lenna,
9.190838,45.972983,Lenno,
10.216572,45.372478,Leno,
9.117342,45.680676,Lentate sul Seveso,
9.307346,45.648576,Lesmo,
9.624154,45.625179,Levate,
9.188938,45.945183,Lezzeno,
9.30564,45.959484,Lierna,
9.129043,45.596774,Limbiate,
8.979838,45.689174,Limido Comasco,
10.786676,45.807494,Limone sul Garda,
9.269955,45.162364,Linarolo,
9.120239,45.792878,Lipomo,
9.256557,44.99446,Lirio,
9.412552,45.480473,Liscate,
9.246546,45.615575,Lissone,
10.133748,46.534706,Livigno,
9.304136,46.168489,Livo,
9.54646,45.192268,Livraga,
9.22655,45.358169,Locate di Triulzi,
